date,drift_score,total_policy_updates,avg_reward,q_table_size,exploration_rate,learning_rate
2025-11-01,0.19703900000000002,10,-1.47,4,0.1,0.1
2025-11-01,0.2163656,15,-1.47,4,0.1,0.1
2025-11-01,0.256746246,22,-1.675,4,0.1,0.1
2025-11-01,0.2858129704,29,-2.07,4,0.1,0.1
2025-11-01,0.35542309594,38,-2.07,4,0.1,0.1
2025-11-01,0.45705566835399997,47,-2.07,4,0.1,0.1
2025-11-01,0.5469831019961999,56,-2.07,4,0.1,0.1
2025-11-01,0.64091660039658,65,-2.07,4,0.1,0.1
2025-11-01,0.7317423918736561,74,-2.07,4,0.1,0.1
2025-11-01,0.8507159046531644,83,-2.07,4,0.1,0.1
